# Nitrate Concentration in rivers in England in 2021 from DEFRA
Date,Time,determinand.label,result,determinand.unit.label,sample.sampledMaterialType.label,easting,northing
24/05/2021,10:43:00,Nitrate-N,8.66,mg/l,RIVER / RUNNING SURFACE WATER,463800,241400
23/06/2021,10:30:00,Nitrate-N,5.54,mg/l,RIVER / RUNNING SURFACE WATER,463800,241400
14/07/2021,13:32:00,Nitrate-N,5.04,mg/l,RIVER / RUNNING SURFACE WATER,463800,241400
04/08/2021,13:20:00,Nitrate-N,4.58,mg/l,RIVER / RUNNING SURFACE WATER,463800,241400
07/09/2021,09:19:00,Nitrate-N,7.36,mg/l,RIVER / RUNNING SURFACE WATER,463800,241400
12/10/2021,10:41:00,Nitrate-N,4.86,mg/l,RIVER / RUNNING SURFACE WATER,463800,241400
09/11/2021,11:11:00,Nitrate-N,4.86,mg/l,RIVER / RUNNING SURFACE WATER,463800,241400
15/12/2021,09:56:00,Nitrate-N,7.48,mg/l,RIVER / RUNNING SURFACE WATER,463800,241400
24/05/2021,09:49:00,Nitrate-N,7.97,mg/l,RIVER / RUNNING SURFACE WATER,462655,234551
03/08/2021,12:44:00,Nitrate-N,9.73,mg/l,RIVER / RUNNING SURFACE WATER,462655,234551
30/11/2021,11:01:00,Nitrate-N,12,mg/l,RIVER / RUNNING SURFACE WATER,462655,234551
07/01/2021,09:00:00,Nitrate-N,11,mg/l,RIVER / RUNNING SURFACE WATER,465205,234067
04/02/2021,10:36:00,Nitrate-N,9.28,mg/l,RIVER / RUNNING SURFACE WATER,465205,234067
10/03/2021,11:58:00,Nitrate-N,9.97,mg/l,RIVER / RUNNING SURFACE WATER,465205,234067
24/05/2021,09:33:00,Nitrate-N,9.25,mg/l,RIVER / RUNNING SURFACE WATER,465205,234067
15/06/2021,12:17:00,Nitrate-N,13.9,mg/l,RIVER / RUNNING SURFACE WATER,465205,234067
14/07/2021,11:21:00,Nitrate-N,12.9,mg/l,RIVER / RUNNING SURFACE WATER,465205,234067
03/08/2021,11:52:00,Nitrate-N,9.58,mg/l,RIVER / RUNNING SURFACE WATER,465205,234067
07/09/2021,09:43:00,Nitrate-N,12,mg/l,RIVER / RUNNING SURFACE WATER,465205,234067
18/10/2021,11:16:00,Nitrate-N,13,mg/l,RIVER / RUNNING SURFACE WATER,465205,234067
24/11/2021,11:06:00,Nitrate-N,14,mg/l,RIVER / RUNNING SURFACE WATER,465205,234067
09/12/2021,11:16:00,Nitrate-N,11,mg/l,RIVER / RUNNING SURFACE WATER,465205,234067
07/01/2021,09:20:00,Nitrate-N,15,mg/l,RIVER / RUNNING SURFACE WATER,459500,229600
19/02/2021,10:18:00,Nitrate-N,13,mg/l,RIVER / RUNNING SURFACE WATER,459500,229600
10/03/2021,11:26:00,Nitrate-N,13,mg/l,RIVER / RUNNING SURFACE WATER,459500,229600
13/04/2021,11:49:00,Nitrate-N,11,mg/l,RIVER / RUNNING SURFACE WATER,459500,229600
11/05/2021,10:03:00,Nitrate-N,8.99,mg/l,RIVER / RUNNING SURFACE WATER,459500,229600
01/06/2021,10:49:00,Nitrate-N,11,mg/l,RIVER / RUNNING SURFACE WATER,459500,229600
14/07/2021,10:51:00,Nitrate-N,6.19,mg/l,RIVER / RUNNING SURFACE WATER,459500,229600
03/08/2021,12:17:00,Nitrate-N,5.89,mg/l,RIVER / RUNNING SURFACE WATER,459500,229600
