Date,Nitrogen dioxide,Status_x,PM10 particulate matter (Hourly measured),Status_y,PM2.5 particulate matter (Hourly measured),Status.1
2019-01-01,,V ugm-3,15.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2019-01-02,,V ugm-3,20.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2019-01-03,,V ugm-3,48.0,V ugm-3 (TEOM FDMS),15.0,V ugm-3 (TEOM FDMS)
2019-01-04,,V ugm-3,30.0,V ugm-3 (TEOM FDMS),21.0,V ugm-3 (TEOM FDMS)
2019-01-05,,V ugm-3,33.0,V ugm-3 (TEOM FDMS),27.0,V ugm-3 (TEOM FDMS)
2019-01-06,,V ugm-3,29.0,V ugm-3 (TEOM FDMS),20.0,V ugm-3 (TEOM FDMS)
2019-01-07,,V ugm-3,19.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2019-01-08,,V ugm-3,22.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2019-01-09,,V ugm-3,25.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2019-01-10,,V ugm-3,23.0,V ugm-3 (TEOM FDMS),14.0,V ugm-3 (TEOM FDMS)
2019-01-11,,V ugm-3,20.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2019-01-12,,V ugm-3,10.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2019-01-13,,V ugm-3,11.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2019-01-14,,V ugm-3,27.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2019-01-15,,V ugm-3,16.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2019-01-16,,V ugm-3,10.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2019-01-17,,V ugm-3,33.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2019-01-18,,V ugm-3,21.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2019-01-19,,V ugm-3,11.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2019-01-20,,V ugm-3,23.0,V ugm-3 (TEOM FDMS),21.0,V ugm-3 (TEOM FDMS)
2019-01-21,,V ugm-3,18.0,V ugm-3 (TEOM FDMS),15.0,V ugm-3 (TEOM FDMS)
2019-01-22,,V ugm-3,15.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2019-01-23,,V ugm-3,29.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2019-01-24,,V ugm-3,28.0,V ugm-3 (TEOM FDMS),21.0,V ugm-3 (TEOM FDMS)
2019-01-25,,V ugm-3,18.0,V ugm-3 (TEOM FDMS),14.0,V ugm-3 (TEOM FDMS)
2019-01-26,,V ugm-3,10.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2019-01-27,,V ugm-3,11.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2019-01-28,,V ugm-3,14.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2019-01-29,,V ugm-3,12.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2019-01-30,,V ugm-3,18.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2019-01-31,,V ugm-3,16.0,V ugm-3 (TEOM FDMS),14.0,V ugm-3 (TEOM FDMS)
2019-02-01,,V ugm-3,16.0,V ugm-3 (TEOM FDMS),13.0,V ugm-3 (TEOM FDMS)
2019-02-02,,V ugm-3,12.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2019-02-03,,V ugm-3,16.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2019-02-04,,V ugm-3,18.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2019-02-05,,V ugm-3,13.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2019-02-06,33.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-02-07,19.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-02-08,19.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-02-09,20.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-02-10,17.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-02-11,37.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-02-12,46.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),13.0,V ugm-3 (TEOM FDMS)
2019-02-13,30.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2019-02-14,46.0,V ugm-3,34.0,V ugm-3 (TEOM FDMS),27.0,V ugm-3 (TEOM FDMS)
2019-02-15,52.0,V ugm-3,44.0,V ugm-3 (TEOM FDMS),34.0,V ugm-3 (TEOM FDMS)
2019-02-16,34.0,V ugm-3,26.0,V ugm-3 (TEOM FDMS),19.0,V ugm-3 (TEOM FDMS)
2019-02-17,31.0,V ugm-3,34.0,V ugm-3 (TEOM FDMS),24.0,V ugm-3 (TEOM FDMS)
2019-02-18,27.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2019-02-19,26.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2019-02-20,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-02-21,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-02-22,40.0,V ugm-3,52.0,V ugm-3 (TEOM FDMS),44.0,V ugm-3 (TEOM FDMS)
2019-02-23,49.0,V ugm-3,64.0,V ugm-3 (TEOM FDMS),55.0,V ugm-3 (TEOM FDMS)
2019-02-24,44.0,V ugm-3,65.0,V ugm-3 (TEOM FDMS),58.0,V ugm-3 (TEOM FDMS)
2019-02-25,55.0,V ugm-3,61.0,V ugm-3 (TEOM FDMS),51.0,V ugm-3 (TEOM FDMS)
2019-02-26,61.0,V ugm-3,60.0,V ugm-3 (TEOM FDMS),43.0,V ugm-3 (TEOM FDMS)
2019-02-27,52.0,V ugm-3,73.0,V ugm-3 (TEOM FDMS),49.0,V ugm-3 (TEOM FDMS)
2019-02-28,31.0,V ugm-3,37.0,V ugm-3 (TEOM FDMS),24.0,V ugm-3 (TEOM FDMS)
2019-03-01,29.0,V ugm-3,32.0,V ugm-3 (TEOM FDMS),21.0,V ugm-3 (TEOM FDMS)
2019-03-02,16.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2019-03-03,14.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2019-03-04,21.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2019-03-05,23.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2019-03-06,24.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2019-03-07,19.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2019-03-08,33.0,V ugm-3,41.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2019-03-09,18.0,V ugm-3,31.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2019-03-10,14.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2019-03-11,22.0,V ugm-3,23.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2019-03-12,20.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2019-03-13,17.0,V ugm-3,33.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2019-03-14,14.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2019-03-15,15.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2019-03-16,29.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2019-03-17,15.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2019-03-18,26.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2019-03-19,26.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2019-03-20,19.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2019-03-21,24.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2019-03-22,21.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2019-03-23,20.0,V ugm-3,31.0,V ugm-3 (TEOM FDMS),20.0,V ugm-3 (TEOM FDMS)
2019-03-24,17.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),13.0,V ugm-3 (TEOM FDMS)
2019-03-25,25.0,V ugm-3,30.0,V ugm-3 (TEOM FDMS),17.0,V ugm-3 (TEOM FDMS)
2019-03-26,32.0,V ugm-3,28.0,V ugm-3 (TEOM FDMS),18.0,V ugm-3 (TEOM FDMS)
2019-03-27,28.0,V ugm-3,26.0,V ugm-3 (TEOM FDMS),14.0,V ugm-3 (TEOM FDMS)
2019-03-28,29.0,V ugm-3,34.0,V ugm-3 (TEOM FDMS),21.0,V ugm-3 (TEOM FDMS)
2019-03-29,31.0,V ugm-3,45.0,V ugm-3 (TEOM FDMS),32.0,V ugm-3 (TEOM FDMS)
2019-03-30,28.0,V ugm-3,41.0,V ugm-3 (TEOM FDMS),33.0,V ugm-3 (TEOM FDMS)
2019-03-31,11.0,V ugm-3,26.0,V ugm-3 (TEOM FDMS),17.0,V ugm-3 (TEOM FDMS)
2019-04-01,23.0,V ugm-3,29.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2019-04-02,17.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2019-04-03,25.0,V ugm-3,5.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2019-04-04,19.0,V ugm-3,6.0,V ugm-3 (TEOM FDMS),2.0,V ugm-3 (TEOM FDMS)
2019-04-05,20.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2019-04-06,16.0,V ugm-3,25.0,V ugm-3 (TEOM FDMS),20.0,V ugm-3 (TEOM FDMS)
2019-04-07,12.0,V ugm-3,38.0,V ugm-3 (TEOM FDMS),32.0,V ugm-3 (TEOM FDMS)
2019-04-08,21.0,V ugm-3,49.0,V ugm-3 (TEOM FDMS),43.0,V ugm-3 (TEOM FDMS)
2019-04-09,19.0,V ugm-3,31.0,V ugm-3 (TEOM FDMS),24.0,V ugm-3 (TEOM FDMS)
2019-04-10,18.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2019-04-11,21.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2019-04-12,20.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),14.0,V ugm-3 (TEOM FDMS)
2019-04-13,13.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),14.0,V ugm-3 (TEOM FDMS)
2019-04-14,10.0,V ugm-3,21.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2019-04-15,19.0,V ugm-3,47.0,V ugm-3 (TEOM FDMS),29.0,V ugm-3 (TEOM FDMS)
2019-04-16,30.0,V ugm-3,53.0,V ugm-3 (TEOM FDMS),45.0,V ugm-3 (TEOM FDMS)
2019-04-17,28.0,V ugm-3,59.0,V ugm-3 (TEOM FDMS),48.0,V ugm-3 (TEOM FDMS)
2019-04-18,26.0,V ugm-3,55.0,V ugm-3 (TEOM FDMS),43.0,V ugm-3 (TEOM FDMS)
2019-04-19,25.0,V ugm-3,42.0,V ugm-3 (TEOM FDMS),31.0,V ugm-3 (TEOM FDMS)
2019-04-20,34.0,V ugm-3,35.0,V ugm-3 (TEOM FDMS),24.0,V ugm-3 (TEOM FDMS)
2019-04-21,33.0,V ugm-3,29.0,V ugm-3 (TEOM FDMS),23.0,V ugm-3 (TEOM FDMS)
2019-04-22,27.0,V ugm-3,35.0,V ugm-3 (TEOM FDMS),28.0,V ugm-3 (TEOM FDMS)
2019-04-23,27.0,V ugm-3,45.0,V ugm-3 (TEOM FDMS),28.0,V ugm-3 (TEOM FDMS)
2019-04-24,23.0,V ugm-3,,V ugm-3 (TEOM FDMS),19.0,V ugm-3 (TEOM FDMS)
2019-04-25,22.0,V ugm-3,,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2019-04-26,17.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2019-04-27,8.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2019-04-28,12.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2019-04-29,20.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),15.0,V ugm-3 (TEOM FDMS)
2019-04-30,22.0,V ugm-3,31.0,V ugm-3 (TEOM FDMS),20.0,V ugm-3 (TEOM FDMS)
2019-05-01,16.0,V ugm-3,42.0,V ugm-3 (TEOM FDMS),20.0,V ugm-3 (TEOM FDMS)
2019-05-02,21.0,V ugm-3,46.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2019-05-03,22.0,V ugm-3,33.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2019-05-04,15.0,V ugm-3,53.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2019-05-05,23.0,V ugm-3,41.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2019-05-06,16.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2019-05-07,19.0,V ugm-3,44.0,V ugm-3 (TEOM FDMS),14.0,V ugm-3 (TEOM FDMS)
2019-05-08,22.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2019-05-09,23.0,V ugm-3,42.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2019-05-10,24.0,V ugm-3,29.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2019-05-11,24.0,V ugm-3,29.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2019-05-12,20.0,V ugm-3,33.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2019-05-13,17.0,V ugm-3,65.0,V ugm-3 (TEOM FDMS),13.0,V ugm-3 (TEOM FDMS)
2019-05-14,19.0,V ugm-3,36.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2019-05-15,22.0,V ugm-3,39.0,V ugm-3 (TEOM FDMS),17.0,V ugm-3 (TEOM FDMS)
2019-05-16,26.0,V ugm-3,37.0,V ugm-3 (TEOM FDMS),18.0,V ugm-3 (TEOM FDMS)
2019-05-17,31.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),13.0,V ugm-3 (TEOM FDMS)
2019-05-18,27.0,V ugm-3,28.0,V ugm-3 (TEOM FDMS),15.0,V ugm-3 (TEOM FDMS)
2019-05-19,26.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2019-05-20,23.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2019-05-21,23.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2019-05-22,22.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2019-05-23,22.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2019-05-24,26.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),14.0,V ugm-3 (TEOM FDMS)
2019-05-25,18.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),13.0,V ugm-3 (TEOM FDMS)
2019-05-26,10.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2019-05-27,14.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2019-05-28,20.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2019-05-29,24.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2019-05-30,18.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2019-05-31,15.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2019-06-01,15.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),13.0,V ugm-3 (TEOM FDMS)
2019-06-02,9.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2019-06-03,18.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2019-06-04,21.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2019-06-05,19.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2019-06-06,18.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2019-06-07,25.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2019-06-08,15.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2019-06-09,15.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2019-06-10,21.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2019-06-11,13.0,V ugm-3,9.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2019-06-12,25.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2019-06-13,23.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2019-06-14,21.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2019-06-15,18.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2019-06-16,9.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2019-06-17,17.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-06-18,24.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-06-19,22.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-06-20,21.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-06-21,25.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-06-22,17.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-06-23,19.0,V ugm-3,23.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-06-24,21.0,V ugm-3,28.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-06-25,26.0,V ugm-3,21.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-06-26,14.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-06-27,14.0,V ugm-3,34.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-06-28,16.0,V ugm-3,42.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-06-29,16.0,V ugm-3,29.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-06-30,8.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-07-01,13.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-07-02,17.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-07-03,16.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2019-07-04,18.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2019-07-05,20.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2019-07-06,16.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2019-07-07,9.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2019-07-08,15.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2019-07-09,19.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2019-07-10,14.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2019-07-11,13.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2019-07-12,11.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2019-07-13,15.0,V ugm-3,7.0,V ugm-3 (TEOM FDMS),2.0,V ugm-3 (TEOM FDMS)
2019-07-14,11.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2019-07-15,15.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2019-07-16,15.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-07-17,21.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-07-18,22.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-07-19,21.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-07-20,16.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-07-21,19.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-07-22,17.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2019-07-23,27.0,V ugm-3,28.0,V ugm-3 (TEOM FDMS),13.0,V ugm-3 (TEOM FDMS)
2019-07-24,15.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2019-07-25,21.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2019-07-26,17.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2019-07-27,18.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2019-07-28,15.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2019-07-29,20.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2019-07-30,23.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2019-07-31,20.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2019-08-01,24.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2019-08-02,22.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2019-08-03,21.0,V ugm-3,21.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2019-08-04,14.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2019-08-05,17.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2019-08-06,23.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2019-08-07,25.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2019-08-08,18.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2019-08-09,13.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2019-08-10,8.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
